Task Name,List,Assignee,Time Estimate Low (hrs),Time Estimate High (hrs),Priority,Tags,Description
"Update LP URLs in all campaigns","Phase 3 - Google Ads","Aksha",1.5,2.25,"High","google-ads,urls","Point to correct persona LP"
"Adjust ad copy for commercial tone","Phase 3 - Google Ads","Aksha",2.25,4.5,"High","google-ads,creative","Proposal vs Estimate language"
"Set persona-specific budgets","Phase 3 - Google Ads","Aksha",0.75,1.5,"Normal","google-ads,budget","~60% residential, 40% commercial"
"Add commercial-specific keywords if any","Phase 3 - Google Ads","Aksha",0.75,1.5,"Normal","google-ads,keywords","HOA, property management terms"
"Add utm_persona field","Phase 3 - Salesforce","SFDC",0.75,1.5,"High","salesforce,utm","residential vs commercial"
"Verify persona reporting works","Phase 3 - Salesforce","SFDC",0.75,1.5,"Normal","salesforce,reporting","Filter by persona"
"Test commercial form submissions","Phase 3 - Salesforce","SFDC",0.5,0.75,"Normal","salesforce,qa","Verify commercial leads tracked correctly"
"Test all residential campaign → LP paths","Phase 3 - QA & Launch","Brent",0.75,1.5,"High","qa,testing","5 surfaces × 2 geos"
"Test all commercial campaign → LP paths","Phase 3 - QA & Launch","Brent",0.75,1.5,"High","qa,testing","5 surfaces × 2 geos"
"Verify CTA differences (Estimate vs Proposal)","Phase 3 - QA & Launch","Web",0.5,0.75,"Normal","qa,cta","Correct CTA per persona"
"End-to-end SFDC lead tests (6 variations)","Phase 3 - QA & Launch","SFDC",0.75,1.5,"High","qa,testing","Per 03_07_qa-matrix.md"
"Fix any Phase 3 issues","Phase 3 - QA & Launch","Brent",1.5,4.5,"High","qa,fixes","Buffer for bug fixes"
"Final review and approval for Phase 3","Phase 3 - QA & Launch","Brent",0.75,1.5,"High","qa,approval","Sign-off before go-live"
"Go live Phase 3","Phase 3 - QA & Launch","Aksha",0.5,0.75,"Urgent","launch","Enable persona-split campaigns"
"Compare residential vs commercial performance","Phase 3 - Learning Period","Aksha",1.5,3,"Normal","optimization,analysis","Performance comparison"
"Persona-specific optimization","Phase 3 - Learning Period","Aksha",1.5,3,"Normal","optimization","Adjust based on data"
"Consider smart bidding transition","Phase 3 - Learning Period","Brent",0.75,1.5,"Normal","optimization,bidding","If 50+ conversions reached"
"Swap placeholder images with new photography","Ongoing - Assets","Web",1.5,3,"Low","web,assets","When new photos arrive"
