Ad report
"January 20, 2026 - January 21, 2026"
Ad status,Final URL,Beacon URLs,Headline,Long headline,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Call to action text,Video ID,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,Display URL,Country,Phone number,Verification URL,Call reporting,Call conversion,Path 1,Path 2,Auto-applied ad suggestion,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad strength,Ad strength improvements,Ad type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,https://calpreserving.com, --, --, --,Wood Restoration Experts, --,Redwood & IPE Deck Specialists, --,Expert Wood Deck Care, --,High-Quality Deck Protection, --,Weathered Deck? We Restore It, --,"IPE, Cedar, Teak Deck Services", --,Extend the Life of Your Deck, --,Deck Maintenance Done Right, --,Deck Repairing Experts, --,Over 35 Years in Business, --,"Beautiful, Durable Deck Finish", --,Online estimations available, --,Deck Restoration & Maintenance, --,Restore Worn Outdoor Decks, --,Revive Your Outdoor Deck, --, --,Expert deck maintenance designed to protect and preserve your wood deck., --,Stop replacing your deck. Restore and maintain it with expert care, --,Trusted deck repair specialists delivering long-lasting results., --,Skilled professionals focused on quality deck restoration., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,deck,restoration,No,, --, --,,Bay Area Deck,Wood Deck Restoration,Eligible,,Good,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 2 more sitelinks in your ad,Responsive search ad,46,1,2.17%,USD,9.61,9.61,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Wood Deck Restoration Experts, --,Restore Your Wood Deck Today, --,Local Deck Restoration Pros, --,Redwood & IPE Deck Specialists, --,Expert Wood Deck Care, --,Premium Deck Restoration, --,Long-Lasting Deck Protection, --,Free Deck Estimate, --,Deck Sealing, --,Satisfaction Guaranteed, --,Wood Restoration & Maintenance, --,Cedar Deck, --,Wood Restoration Service, --,Teak Deck, --,Cal Preserving - Wood Care, --, --,"Specialized deck restoration for premium species like redwood, cedar, IPE, and teak.", --,Keep your high-end hardwood deck looking its best with expert refinishing and protection., --,We carefully restore hardwood decks using species-appropriate products and methods., --,"Protect your investment with premium restoration for redwood, IPE, cedar, and teak decks.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,deck,restoration,No,, --, --,,Bay Area Deck,Wood Deck Restoration,Eligible,,Good,Add 2 more sitelinks in your ad,Responsive search ad,35,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Wood Restoration Experts, --,Wood Restoration & Maintenance, --,Wood Fence Refinishing, --,Restore Weathered Wood Fences, --,Premium Teak Furniture Care, --,Refinish Weathered Patio Sets, --,Protect Outdoor Wood Furniture, --,Long-Lasting Fence Restoration, --,Extend Fence Life & Appearance, --,Wood Fence Repair Specialists, --,Restore Outdoor Wood Furniture, --,Teak Furniture Refinishing, --,Wood Fence Sealing, --,"Redwood, Cedar, IPE Fence", --,Get In Touch With Us, --, --,Restore and refinish teak and outdoor wood furniture to like-new condition., --,Professional refinishing for premium outdoor furniture using appropriate oils and finishes, --,Protect your investment in teak and hardwood furniture with expert restoration services., --,"We clean, sand, and refinish weathered patio furniture for a fresh, renewed look.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,wood,structures,No,, --, --,,Bay Area Structures,Wood Structures and Furniture,Eligible,,Good,Try including more keywords in your descriptions;Add 2 more sitelinks in your ad,Responsive search ad,8,3,37.50%,USD,7.85,23.56,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Patio Restoration Experts, --,Refinish Weathered Patio Sets, --,Long-Lasting Fence Protection, --,Revive Your Wood Fence, --,Extend Fence Life & Appearance, --,Outdoor Wood Care Experts, --,Protect Exterior Wood Fencing, --,Exterior Furniture Restoration, --,Exterior Wood Fence Specialist, --,Wood Fence Sealing, --,Teak Furniture Restoration, --,"IPE, Cedar, Redwood Fence", --,Wood Restoration & Maintenance, --,Wood Fence Resurfacing, --, --, --, --,"We clean, sand, and apply high-quality finishes for long-lasting fence protection.", --,We carefully refinish premium fences with the right products for each wood species., --,Bring faded fences back to life with professional staining and sealing services., --,Protect your investment in premium wood fencing with expert repair and refinishing., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,wood,structures,No,, --, --,,Bay Area Structures,Wood Structures and Furniture,Eligible,,Good,Try including more keywords in your descriptions;Add 2 more sitelinks in your ad,Responsive search ad,7,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Fence Repair and Maintenance, --,Teak Furniture Restoration, --,Premium Wood Fence Restoration, --,Fence Finishing and Protection, --,Fence Sealing & Protection, --,Furniture Restoration Experts, --,Wood Fence Refinishing, --,Hardwood Fence Refinishing, --,Restore Weathered Wood Fences, --,Restore Outdoor Wood Furniture, --,Cedar & Redwood Fence Experts, --,Premium Teak Furniture Care, --,Premium Fence Staining Service, --,Over 35 Years in Business, --,IPE Fencing Professionals, --, --,Restore and refinish teak and outdoor wood furniture to like-new condition., --,"Specialized restoration for redwood, cedar, IPE, and hardwood fences.", --,"We fix damaged, leaning, or faded fences and bring them back to life.", --,"We clean, sand, and apply high-quality finishes for long-lasting fence protection.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,wood,structures,No,, --, --,,Bay Area Structures,Wood Structures and Furniture,Eligible,,Good,Try including more keywords in your descriptions;Add 2 more sitelinks in your ad,Responsive search ad,4,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Total: All but removed ads,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,No,, --, --, --, --, --, --,, --, --, --,305,17,5.57%,USD,6.89,117.06,0.00%,0.00,0.00
Total: Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,042",31,2.98%,USD,4.32,133.89,3.23%,1.00,133.89
Total: Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Total: Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,042",31,2.98%,USD,4.32,133.89,3.23%,1.00,133.89
Total: Performance Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0, --,USD,0,0.00,0.00%,0.00,0.00
